Date,Calories,Weight
2023-09-14,725,81.0
2023-09-15,1095,81.0
2023-09-16,1434,81.0
2023-09-17,958,81.0
2023-09-18,1270,81.0
2023-09-19,1598,81.0
2023-09-20,1126,81.0
2023-09-21,1398,81.0
2023-09-22,1422,81.0
2023-09-23,1477,81.0
2023-09-24,1443,80.0
2023-09-25,1465,80.0
2023-09-26,1002,80.0
2023-09-27,1530,80.0
2023-09-28,1095,80.0
2023-09-29,1117,80.0
2023-09-30,1299,80.0
2023-10-01,1365,80.0
2023-10-02,1104,80.0
2023-10-03,1246,79.4
2023-10-04,1279,79.4
2023-10-05,1396,79.4
2023-10-06,1579,79.0
2023-10-07,1718,79.0
2023-10-08,1098,79.0
2023-10-09,1297,79.0
2023-10-10,1314,79.0
2023-10-11,1767,78.6
2023-10-12,1710,78.6
2023-10-13,1546,78.6
2023-10-14,1345,78.4
2023-10-15,1412,78.2
2023-10-16,1739,78.2
2023-10-17,1421,78.2
2023-10-18,1661,78.2
2023-10-19,1689,77.8
2023-10-20,1423,77.6
2023-10-21,1412,77.5
2023-10-22,1475,77.3
2023-10-23,1733,77.3
2023-10-24,1787,77.3
2023-10-25,1622,77.3
2023-10-26,1702,76.9
2023-10-27,1568,76.9
2023-10-28,1292,76.9
2023-10-29,1669,76.9
2023-10-30,1524,76.9
2023-10-31,1569,76.6
2023-11-01,1460,76.3
2023-11-02,1490,76.3
2023-11-03,1716,75.9
2023-11-04,1903,75.9
2023-11-05,1458,75.9
2023-11-06,1685,75.9
2023-11-07,1289,75.9
2023-11-08,1887,75.4
2023-11-09,1650,75.4
2023-11-10,1470,75.4
2023-11-11,1792,75.4
2023-11-12,1432,75.4
2023-11-13,1380,75.4
2023-11-14,1584,75.4
2023-11-15,1574,75.4
2023-11-16,1393,74.9
2023-11-17,1414,74.7
2023-11-18,1632,74.2
2023-11-19,1492,74.0
2023-11-20,1675,74.0
2023-11-21,1616,74.6
2023-11-22,1749,74.1
2023-11-23,1546,73.7
2023-11-24,1608,73.6
2023-11-25,1688,73.4
2023-11-26,1661,73.4
2023-11-27,1735,74.4
2023-11-28,1457,74.4
2023-11-29,1429,74.2
2023-11-30,1352,73.8
2023-12-01,1925,73.5
2023-12-02,1710,73.2
2023-12-03,1473,73.0
2023-12-04,1220,73.4
2023-12-05,1363,72.8
2023-12-06,1312,72.5
2023-12-07,1253,72.5
2023-12-08,1517,72.5
2023-12-09,1746,72.5
2023-12-10,1323,72.5
2023-12-11,1604,72.2
2023-12-12,1482,72.2
2023-12-13,1332,72.2
2023-12-14,1387,71.9
2023-12-15,1073,71.3
2023-12-16,1456,71.3
2023-12-17,1585,71.8
2023-12-18,1817,71.9
2023-12-19,1279,71.9
2023-12-20,1294,70.8
2023-12-21,1389,70.8
2023-12-22,1864,70.7
2023-12-23,1541,70.7
2023-12-24,1851,70.3
2023-12-25,1454,70.3
2023-12-26,1265,70.5
2023-12-27,1471,70.5
2023-12-28,1402,70.5
2023-12-29,1387,70.5
2023-12-30,1696,70.5
2023-12-31,1364,70.5
2024-01-01,1423,70.5
2024-01-02,1677,70.5
2024-01-03,1829,69.9
2024-01-04,1885,69.7
2024-01-05,1883,69.7
2024-01-06,2135,70.1
2024-01-07,1886,70.1
2024-01-08,1865,70.1
2024-01-09,1544,70.7
2024-01-10,1773,70.0
2024-01-11,1445,70.4
2024-01-12,1737,69.9
2024-01-13,1774,69.9
2024-01-14,1358,69.9
2024-01-15,1528,70.8
2024-01-16,1469,70.8
2024-01-17,1391,70.8
2024-01-18,1233,70.4
2024-01-19,1582,69.9
2024-01-20,1319,69.9
2024-01-21,1683,70.2
2024-01-22,1706,70.2
2024-01-23,1486,70.2
2024-01-24,1685,70.2
2024-01-25,1538,70.2
2024-01-26,1336,70.2
2024-01-27,1965,70.2
2024-01-31,1259,70.2
2024-02-01,1285,69.0
2024-02-02,1803,69.0
2024-02-03,1643,69.0
2024-02-04,1299,68.6
2024-02-05,1820,68.5
2024-02-06,1298,68.5
2024-02-07,2232,68.5
2024-02-08,1720,68.0
2024-02-09,1633,68.5
2024-02-10,2075,68.1
