Date,Weight
2023-09-14,81.0
2023-09-24,80.0
2023-10-03,79.4
2023-10-06,79.0
2023-10-11,78.6
2023-10-14,78.4
2023-10-15,78.2
2023-10-19,77.8
2023-10-20,77.6
2023-10-21,77.5
2023-10-22,77.3
2023-10-26,76.9
2023-10-31,76.6
2023-11-01,76.3
2023-11-03,75.9
2023-11-08,75.4
2023-11-16,74.9
2023-11-17,74.7
2023-11-18,74.2
2023-11-19,74.0
2023-11-21,74.6
2023-11-22,74.1
2023-11-23,73.7
2023-11-24,73.6
2023-11-25,73.4
2023-11-27,74.4
2023-11-28,74.4
2023-11-29,74.2
2023-11-30,73.8
2023-12-01,73.5
2023-12-02,73.2
2023-12-03,73.0
2023-12-04,73.4
2023-12-05,72.8
2023-12-06,72.5
2023-12-11,72.2
2023-12-14,71.9
2023-12-15,71.3
2023-12-17,71.8
2023-12-18,71.9
2023-12-20,70.8
2023-12-22,70.7
2023-12-24,70.3
2023-12-26,70.5
2024-01-03,69.9
2024-01-04,69.7
2024-01-06,70.1
2024-01-09,70.7
2024-01-10,70.0
2024-01-11,70.4
2024-01-12,69.9
2024-01-15,70.8
2024-01-18,70.4
2024-01-19,69.9
2024-01-21,70.2
2024-02-01,69.0
2024-02-04,68.6
2024-02-05,68.5
2024-02-08,68.0
2024-02-09,68.5
2024-02-10,68.1
2024-02-12,68.5
2024-02-24,67.7
2024-02-25,68.6
2024-02-28,68.2
2024-02-29,67.1
2024-03-03,67.4
2024-03-04,67.8
2024-03-15,67.5
2024-03-20,66.7
2024-03-26,66.6
2024-03-29,67.0
2024-03-31,66.5
2024-04-04,67.3
2024-04-05,66.9
2024-04-07,66.9
2024-04-09,67.6
2024-04-12,66.3
2024-04-17,66.2
2024-04-21,66.0
2024-04-27,65.1
2024-05-11,65.8
2024-05-20,65.2
2024-05-25,65.7
2024-06-02,64.5
2024-06-08,64.0
2024-06-11,65.3
2024-06-14,64.6
2024-06-19,64.2
2024-06-24,65.0
2024-06-27,63.5
2024-07-02,64.5
2024-07-12,63.6
2024-07-20,62.6
2024-07-29,63.6
2024-08-04,62.8
2024-08-12,64.2
2024-08-14,64.2
2024-08-15,63.4
2024-08-20,63.6
2024-08-22,63.1
2024-08-30,64.1
2024-09-04,64.3
2024-09-07,64.0
2024-09-09,63.9
2024-09-11,63.7
2024-09-13,64.1
2024-09-15,63.6
2024-09-18,62.9
2024-09-20,63.8
2024-09-22,62.5
2024-09-23,63.0
2024-09-26,62.0
2024-09-27,62.6
2024-09-29,62.2
