Date,Calories,Weight,day
2023-09-14,725.0,81.0,0
2023-09-15,1095.0,,1
2023-09-16,1434.0,,2
2023-09-17,958.0,,3
2023-09-18,1270.0,,4
2023-09-19,1598.0,,5
2023-09-20,1126.0,,6
2023-09-21,1398.0,,7
2023-09-22,1422.0,,8
2023-09-23,1477.0,,9
2023-09-24,1443.0,80.0,10
2023-09-25,1465.0,,11
2023-09-26,1002.0,,12
2023-09-27,1530.0,,13
2023-09-28,1095.0,,14
2023-09-29,1117.0,,15
2023-09-30,1299.0,,16
2023-10-01,1365.0,,17
2023-10-02,1104.0,,18
2023-10-03,1246.0,79.4,19
2023-10-04,1279.0,,20
2023-10-05,1396.0,,21
2023-10-06,1579.0,79.0,22
2023-10-07,1718.0,,23
2023-10-08,1098.0,,24
2023-10-09,1297.0,,25
2023-10-10,1314.0,,26
2023-10-11,1767.0,78.6,27
2023-10-12,1710.0,,28
2023-10-13,1546.0,,29
2023-10-14,1345.0,78.4,30
2023-10-15,1412.0,78.2,31
2023-10-16,1739.0,,32
2023-10-17,1421.0,,33
2023-10-18,1661.0,,34
2023-10-19,1689.0,77.8,35
2023-10-20,1423.0,77.6,36
2023-10-21,1412.0,77.5,37
2023-10-22,1475.0,77.3,38
2023-10-23,1733.0,,39
2023-10-24,1787.0,,40
2023-10-25,1622.0,,41
2023-10-26,1702.0,76.9,42
2023-10-27,1568.0,,43
2023-10-28,1292.0,,44
2023-10-29,1669.0,,45
2023-10-30,1524.0,,46
2023-10-31,1569.0,76.6,47
2023-11-01,1460.0,76.3,48
2023-11-02,1490.0,,49
2023-11-03,1716.0,75.9,50
2023-11-04,1903.0,,51
2023-11-05,1458.0,,52
2023-11-06,1685.0,,53
2023-11-07,1289.0,,54
2023-11-08,1887.0,75.4,55
2023-11-09,1650.0,,56
2023-11-10,1470.0,,57
2023-11-11,1792.0,,58
2023-11-12,1432.0,,59
2023-11-13,1380.0,,60
2023-11-14,1584.0,,61
2023-11-15,1574.0,,62
2023-11-16,1393.0,74.9,63
2023-11-17,1414.0,74.7,64
2023-11-18,1632.0,74.2,65
2023-11-19,1492.0,74.0,66
2023-11-20,1675.0,,67
2023-11-21,1616.0,74.6,68
2023-11-22,1749.0,74.1,69
2023-11-23,1546.0,73.7,70
2023-11-24,1608.0,73.6,71
2023-11-25,1688.0,73.4,72
2023-11-26,1661.0,,73
2023-11-27,1735.0,74.4,74
2023-11-28,1457.0,74.4,75
2023-11-29,1429.0,74.2,76
2023-11-30,1352.0,73.8,77
2023-12-01,1925.0,73.5,78
2023-12-02,1710.0,73.2,79
2023-12-03,1473.0,73.0,80
2023-12-04,1220.0,73.4,81
2023-12-05,1363.0,72.8,82
2023-12-06,1312.0,72.5,83
2023-12-07,1253.0,,84
2023-12-08,1517.0,,85
2023-12-09,1746.0,,86
2023-12-10,1323.0,,87
2023-12-11,1604.0,72.2,88
2023-12-12,1482.0,,89
2023-12-13,1332.0,,90
2023-12-14,1387.0,71.9,91
2023-12-15,1073.0,71.3,92
2023-12-16,1456.0,,93
2023-12-17,1585.0,71.8,94
2023-12-18,1817.0,71.9,95
2023-12-19,1279.0,,96
2023-12-20,1294.0,70.8,97
2023-12-21,1389.0,,98
2023-12-22,1864.0,70.7,99
2023-12-23,1541.0,,100
2023-12-24,1851.0,70.3,101
2023-12-25,1454.0,,102
2023-12-26,1265.0,70.5,103
2023-12-27,1471.0,,104
2023-12-28,1402.0,,105
2023-12-29,1387.0,,106
2023-12-30,1696.0,,107
2023-12-31,1364.0,,108
2024-01-01,1423.0,,109
2024-01-02,1677.0,,110
2024-01-03,1829.0,69.9,111
2024-01-04,1885.0,69.7,112
2024-01-05,1883.0,,113
2024-01-06,2135.0,70.1,114
2024-01-07,1886.0,,115
2024-01-08,1865.0,,116
2024-01-09,1544.0,70.7,117
2024-01-10,1773.0,70.0,118
2024-01-11,1445.0,70.4,119
2024-01-12,1737.0,69.9,120
2024-01-13,1774.0,,121
2024-01-14,1358.0,,122
2024-01-15,1528.0,70.8,123
2024-01-16,1469.0,,124
2024-01-17,1391.0,,125
2024-01-18,1233.0,70.4,126
2024-01-19,1582.0,69.9,127
2024-01-20,1319.0,,128
2024-01-21,1683.0,70.2,129
2024-01-22,1706.0,,130
2024-01-23,1486.0,,131
2024-01-24,1685.0,,132
2024-01-25,1538.0,,133
2024-01-26,1336.0,,134
2024-01-27,1965.0,,135
2024-01-28,,,136
2024-01-29,,,137
2024-01-30,,,138
2024-01-31,1259.0,,139
2024-02-01,1285.0,69.0,140
2024-02-02,1803.0,,141
2024-02-03,1643.0,,142
2024-02-04,1299.0,68.6,143
2024-02-05,1820.0,68.5,144
2024-02-06,1298.0,,145
2024-02-07,2232.0,,146
2024-02-08,1720.0,68.0,147
2024-02-09,1633.0,68.5,148
2024-02-10,2075.0,68.1,149
2024-02-11,1595.0,,150
2024-02-12,1816.0,68.5,151
2024-02-13,1498.0,,152
2024-02-14,1712.0,,153
2024-02-15,1571.0,,154
2024-02-16,1718.0,,155
2024-02-17,1526.0,,156
2024-02-18,,,157
2024-02-19,1790.0,,158
2024-02-20,1442.0,,159
2024-02-21,1910.0,,160
2024-02-22,1317.0,,161
2024-02-23,1730.0,,162
2024-02-24,1686.0,67.7,163
2024-02-25,1834.0,68.6,164
2024-02-26,1423.0,,165
2024-02-27,1827.0,,166
2024-02-28,1614.0,68.2,167
2024-02-29,1670.0,67.1,168
2024-03-01,1530.0,,169
2024-03-02,1265.0,,170
2024-03-03,1665.0,67.4,171
2024-03-04,1777.0,67.8,172
2024-03-05,1495.0,,173
2024-03-06,1748.0,,174
2024-03-07,1624.0,,175
2024-03-08,1791.0,,176
2024-03-09,1534.0,,177
2024-03-10,1540.0,,178
2024-03-11,1723.0,,179
2024-03-12,1446.0,,180
2024-03-13,1774.0,,181
2024-03-14,1764.0,,182
2024-03-15,1598.0,67.5,183
2024-03-16,1809.0,,184
2024-03-17,1197.0,,185
2024-03-18,1165.0,,186
2024-03-19,2073.0,,187
2024-03-20,1614.0,66.7,188
2024-03-21,1507.0,,189
2024-03-22,1897.0,,190
2024-03-23,1391.0,,191
2024-03-24,1504.0,,192
2024-03-25,1951.0,,193
2024-03-26,1634.0,66.6,194
2024-03-27,2013.0,,195
2024-03-28,2228.0,,196
2024-03-29,2049.0,67.0,197
2024-03-30,1609.0,,198
2024-03-31,1121.0,66.5,199
2024-04-01,1848.0,,200
2024-04-02,1778.0,,201
2024-04-03,2059.0,,202
2024-04-04,1429.0,67.3,203
2024-04-05,1862.0,66.9,204
2024-04-06,1974.0,,205
2024-04-07,1460.0,66.9,206
2024-04-08,1909.0,,207
2024-04-09,1340.0,67.6,208
2024-04-10,1478.0,,209
2024-04-11,1471.0,,210
2024-04-12,1638.0,66.3,211
2024-04-13,1840.0,,212
2024-04-14,2006.0,,213
2024-04-15,1480.0,,214
2024-04-16,1468.0,,215
2024-04-17,1596.0,66.2,216
2024-04-18,2604.0,,217
2024-04-19,1392.0,,218
2024-04-20,1525.0,,219
2024-04-21,1817.0,66.0,220
2024-04-22,1536.0,,221
2024-04-23,1722.0,,222
2024-04-24,1511.0,,223
2024-04-25,1886.0,,224
2024-04-26,1495.0,,225
2024-04-27,1900.0,65.1,226
2024-04-28,1758.0,,227
2024-04-29,1379.0,,228
2024-04-30,1718.0,,229
2024-05-01,1293.0,,230
2024-05-02,2048.0,,231
2024-05-03,1423.0,,232
2024-05-04,1562.0,,233
2024-05-05,1386.0,,234
2024-05-06,1422.0,,235
2024-05-07,1456.0,,236
2024-05-08,2096.0,,237
2024-05-09,1563.0,,238
2024-05-10,2078.0,,239
2024-05-11,1704.0,65.8,240
2024-05-12,1327.0,,241
2024-05-13,2022.0,,242
2024-05-14,1676.0,,243
2024-05-15,1516.0,,244
2024-05-16,1318.0,,245
2024-05-17,1532.0,,246
2024-05-18,1601.0,,247
2024-05-19,1600.0,,248
2024-05-20,2021.0,65.2,249
2024-05-21,1873.0,,250
2024-05-22,1998.0,,251
2024-05-23,1552.0,,252
2024-05-24,1850.0,,253
2024-05-25,2070.0,65.7,254
2024-05-26,1539.0,,255
2024-05-27,1770.0,,256
2024-05-28,1675.0,,257
2024-05-29,2113.0,,258
2024-05-30,1720.0,,259
2024-05-31,1627.0,,260
2024-06-01,2087.0,,261
2024-06-02,1973.0,64.5,262
2024-06-03,1717.0,,263
2024-06-04,1368.0,,264
2024-06-05,560.0,,265
2024-06-06,1353.0,,266
2024-06-07,1811.0,,267
2024-06-08,1858.0,64.0,268
2024-06-09,2146.0,,269
2024-06-10,1788.0,,270
2024-06-11,1736.0,65.3,271
2024-06-12,1892.0,,272
2024-06-13,2171.0,,273
2024-06-14,1630.0,64.6,274
2024-06-15,2388.0,,275
2024-06-16,1431.0,,276
2024-06-17,1637.0,,277
2024-06-18,1494.0,,278
2024-06-19,1578.0,64.2,279
2024-06-20,1372.0,,280
2024-06-21,1726.0,,281
2024-06-22,2057.0,,282
2024-06-23,2104.0,,283
2024-06-24,1723.0,65.0,284
2024-06-25,1716.0,,285
2024-06-26,1876.0,,286
2024-06-27,1795.0,63.5,287
2024-06-28,1757.0,,288
2024-06-29,1579.0,,289
2024-06-30,2121.0,,290
2024-07-01,1770.0,,291
2024-07-02,1472.0,64.5,292
2024-07-03,2021.0,,293
2024-07-04,1487.0,,294
2024-07-05,2009.0,,295
2024-07-06,1785.0,,296
2024-07-07,1641.0,,297
2024-07-08,2003.0,,298
2024-07-09,1770.0,,299
2024-07-10,2176.0,,300
2024-07-11,1837.0,,301
2024-07-12,1631.0,63.6,302
2024-07-13,1873.0,,303
2024-07-14,1942.0,,304
2024-07-15,1886.0,,305
2024-07-16,1786.0,,306
2024-07-17,1615.0,,307
2024-07-18,2069.0,,308
2024-07-19,1841.0,,309
2024-07-20,1857.0,62.6,310
2024-07-21,1827.0,,311
2024-07-22,1524.0,,312
2024-07-23,1790.0,,313
2024-07-24,928.0,,314
2024-07-25,1684.0,,315
2024-07-26,2157.0,,316
2024-07-27,2016.0,,317
2024-07-28,1817.0,,318
2024-07-29,1491.0,63.6,319
