Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline,phase,fitted_weight,weight_slope
2023-09-14,725.0,81.0,0,80.0,80.14643191574935,725.0,725.0,bulk,79.45649995813604,0.15372631278770163
2023-09-15,1095.0,,1,80.0,80.1831177399274,1095.0,1095.0,bulk,79.59893649265723,0.13138575969572724
2023-09-16,1434.0,,2,80.0,80.2064306820257,1153.3333333333333,1104.4763678392185,bulk,79.71973782748881,0.11044434918285144
2023-09-17,958.0,,3,80.0,80.21710815484475,1211.6666666666667,1060.4645517588274,bulk,79.82026887147177,0.09083406970920768
2023-09-18,1270.0,,4,80.0,80.21588757118501,1270.0,1270.0,bulk,79.90182787484314,0.07248960081748616
2023-09-19,1598.0,,5,80.0,80.20350634384701,1598.0,1598.0,bulk,79.96564907634688,0.05534822558222648
2023-09-20,1126.0,,6,80.0,80.18070188563124,1126.0,1126.0,bulk,80.01290526396933,0.039349745405440714
2023-09-21,1398.0,,7,80.0,80.14821160933813,1398.0,1398.0,bulk,80.0447102516218,0.024436397105868462
2023-09-22,1422.0,,8,80.0,80.10677292776825,1422.0,1422.0,bulk,80.06212127404147,0.0105527722565076
2023-09-23,1477.0,,9,80.0,80.05712325372204,1477.0,1477.0,cut,80.0661413021315,-0.002354261280738494
2023-09-24,1443.0,80.0,10,80.0,80.0,1471.0,1646.6199737958812,cut,80.0577212809111,-0.014335635678245733
2023-09-25,1465.0,,11,79.91666666666667,79.93614057940263,1465.0,1465.0,cut,80.03776229219858,-0.0254401573639503
2023-09-26,1002.0,,12,79.83333333333333,79.86628240473041,1002.0,1002.0,cut,80.00711764410184,-0.03571457918975322
2023-09-27,1530.0,,13,79.75,79.79116288878386,1530.0,1530.0,cut,79.96659488934428,-0.04520367060460255
2023-09-28,1095.0,,14,79.66666666666667,79.71151944436343,1095.0,1095.0,cut,79.91695777440809,-0.053950285850253486
2023-09-29,1117.0,,15,79.58333333333333,79.62808948426965,1117.0,1117.0,cut,79.8589281214315,-0.061995430260353146
2023-09-30,1299.0,,16,79.5,79.54161042130299,1299.0,1299.0,cut,79.79318764475265,-0.06937832468629779
2023-10-01,1365.0,,17,79.41666666666667,79.45281966826393,1365.0,1365.0,cut,79.7203797039486,-0.07613646808266594
2023-10-02,1104.0,,18,79.33333333333333,79.36245463795298,1104.0,1104.0,cut,79.64111099517612,-0.0823056983216238
2023-10-03,1246.0,79.4,19,79.25,79.27125274317062,1246.0,1246.0,cut,79.55595318257832,-0.08792025125986906
2023-10-04,1279.0,,20,79.16666666666667,79.17995139671733,1279.0,1279.0,cut,79.46544447148044,-0.09301281809920663
2023-10-05,1396.0,,21,79.08333333333333,79.08928801139362,1396.0,1396.0,cut,79.37009112505775,-0.09761460108255923
2023-10-06,1579.0,79.0,22,79.0,79.0,1579.0,1579.0,cut,79.27036892611889,-0.10175536758095424
2023-10-07,1718.0,,23,78.92,78.91282477533692,1338.5,1402.1196237142556,cut,79.16672458560924,-0.10546350256745995
2023-10-08,1098.0,,24,78.84,78.82849975020488,1098.0,1098.0,cut,79.05957709940093,-0.10876605957695537
2023-10-09,1297.0,,25,78.75999999999999,78.7477623374044,1206.0,1031.6879117701558,cut,78.94931905489837,-0.11168881012769324
2023-10-10,1314.0,,26,78.67999999999999,78.67134994973593,1314.0,1314.0,cut,78.83631788895238,-0.11425629167950055
2023-10-11,1767.0,78.6,27,78.6,78.6,1767.0,1767.0,cut,78.720917098539,-0.11649185415703775
2023-10-12,1710.0,,28,78.53333333333333,78.53357216372328,1710.0,1710.0,cut,78.60343740562509,-0.11841770505813069
2023-10-13,1546.0,,29,78.46666666666667,78.46841516733735,1717.25,1636.298249665261,cut,78.48417787760704,-0.12005495320318953
2023-10-14,1345.0,78.4,30,78.4,78.4,1724.5,1665.4716205097482,cut,78.36341700467628,-0.12142365114193865
