Date,Calories,Weight,day,Weight_linear,Weight_spline,Calories_linear,Calories_spline
2023-09-14,725.0,81.0,0,80.0,80.14643191574935,725.0,725.0
2023-09-15,1095.0,,1,80.0,80.1831177399274,1095.0,1095.0
2023-09-16,1434.0,,2,80.0,80.2064306820257,1153.3333333333333,1104.4763678392183
2023-09-17,958.0,,3,80.0,80.21710815484475,1211.6666666666667,1060.4645517588274
2023-09-18,1270.0,,4,80.0,80.21588757118501,1270.0,1270.0
2023-09-19,1598.0,,5,80.0,80.20350634384701,1598.0,1598.0
2023-09-20,1126.0,,6,80.0,80.18070188563124,1126.0,1126.0
2023-09-21,1398.0,,7,80.0,80.14821160933813,1398.0,1398.0
2023-09-22,1422.0,,8,80.0,80.10677292776825,1422.0,1422.0
2023-09-23,1477.0,,9,80.0,80.05712325372204,1477.0,1477.0
2023-09-24,1443.0,80.0,10,80.0,80.0,1471.0,1646.6199737958812
2023-09-25,1465.0,,11,79.91666666666667,79.93614057940263,1465.0,1465.0
2023-09-26,1002.0,,12,79.83333333333333,79.86628240473041,1002.0,1002.0
2023-09-27,1530.0,,13,79.75,79.79116288878386,1530.0,1530.0
2023-09-28,1095.0,,14,79.66666666666667,79.71151944436343,1095.0,1095.0
2023-09-29,1117.0,,15,79.58333333333333,79.62808948426965,1117.0,1117.0
2023-09-30,1299.0,,16,79.5,79.54161042130299,1299.0,1299.0
2023-10-01,1365.0,,17,79.41666666666667,79.45281966826393,1365.0,1365.0
2023-10-02,1104.0,,18,79.33333333333333,79.36245463795298,1104.0,1104.0
2023-10-03,1246.0,79.4,19,79.25,79.27125274317062,1246.0,1246.0
2023-10-04,1279.0,,20,79.16666666666667,79.17995139671733,1279.0,1279.0
2023-10-05,1396.0,,21,79.08333333333333,79.08928801139362,1396.0,1396.0
2023-10-06,1579.0,79.0,22,79.0,79.0,1579.0,1579.0
2023-10-07,1718.0,,23,78.92,78.91282477533692,1338.5,1402.1196237142556
2023-10-08,1098.0,,24,78.84,78.82849975020488,1098.0,1098.0
